case,model,order,version,n,time_sec
1,2,10,1,160,0.18422313267365098
1,2,10,1,170,0.1962601700797677
1,2,10,1,180,0.20681568700820208
1,2,10,1,190,0.21920866705477238
1,2,10,1,200,0.23037244891747832
1,2,10,1,210,0.24180313711985946
1,2,10,1,220,0.25342669803649187
1,2,10,1,230,0.264673157595098
1,2,10,1,240,0.27569471299648285
1,2,10,1,250,0.2886999249458313
1,2,10,1,260,0.30033437069505453
1,2,10,1,270,0.3107967749238014
1,2,10,1,280,0.3225745898671448
1,2,10,1,290,0.3335836618207395
1,2,10,1,300,0.34359396575018764
1,2,10,1,310,0.35587840573862195
1,2,10,1,320,0.36843473091721535
1,2,10,1,330,0.3798979688435793
1,2,10,1,340,0.39219080889597535
1,2,10,1,350,0.4045889191329479
1,2,10,1,360,0.4133490421809256
1,2,10,1,370,0.4260737271979451
1,2,10,1,380,0.43695349991321564
1,2,10,1,390,0.45012935902923346
1,2,10,1,400,0.46015638625249267
1,2,10,1,410,0.47109101014211774
1,2,10,1,420,0.483239168766886
1,2,10,1,430,0.492697455920279
1,2,10,1,440,0.5035737338475883
1,2,10,1,450,0.5153915090486407
1,2,10,1,460,0.5253441138193011
1,2,10,1,470,0.5367177189327776
1,2,10,1,480,0.5490090274251997
1,2,10,1,490,0.560323272831738
1,2,10,1,500,0.5706592542119324
1,2,10,1,510,0.5845880904234946
1,2,10,1,520,0.5939721968024969
1,2,10,1,530,0.6097287987358868
1,2,10,1,540,0.6175121166743338
1,2,10,1,550,0.6296404688619077
1,2,10,1,560,0.6405339147895575
1,2,10,1,570,0.6534399259835482
1,2,10,1,580,0.6639645779505372
1,2,10,1,590,0.6756131718866527
1,2,10,2,20,0.022898572962731123
1,2,10,2,30,0.0343072316609323
1,2,10,2,40,0.045623513869941235
1,2,10,2,50,0.057074448093771935
1,2,10,2,60,0.06808434100821614
1,2,10,2,70,0.07971702795475721
1,2,10,2,80,0.09117566328495741
1,2,10,2,90,0.10265745827928185
1,2,10,2,100,0.11508922092616558
1,2,10,2,110,0.12626385409384966
1,2,10,2,120,0.1377522349357605
1,2,10,2,130,0.14912549126893282
1,2,10,2,140,0.16024140501394868
1,2,10,2,150,0.17176444781944156
1,2,10,2,160,0.18318102369084954
1,2,10,2,170,0.19595805881544948
1,2,10,2,180,0.20642083697021008
1,2,10,2,190,0.21808364195749164
1,2,10,2,200,0.22944115987047553
1,2,10,2,210,0.24100048234686255
1,2,10,2,220,0.251441340893507
1,2,10,2,230,0.2634366168640554
1,2,10,2,240,0.2744408021681011
1,2,10,2,250,0.2865332877263427
1,2,10,2,260,0.29869126388803124
1,2,10,2,270,0.3100423291325569
1,2,10,2,280,0.3203019560314715
1,2,10,2,290,0.33259462285786867
1,2,10,2,300,0.3432179670780897
